Symbol,Company_Name,Country,Sector,Industry,F1,F2,F3,F4
B52J81,Airtac International Group,Taiwan,Industrials,Machinery,"5,724.4",0.2,1.5,56.0
601070,Aisin Corporation,Japan,Consumer Discretionary,Auto Components,"8,963.2",1.6,4.3,33.0
601090,"Ajinomoto Co., Inc.",Japan,Consumer Staples,Food Products,"13,147.2",0.4,1.8,60.0
250745,"Akamai Technologies, Inc.",United States,Information Technology,IT Services,"15,413.3",0.3,0.0,18.2
B03MN7,Akbank T.A.S.,Turkey,Financials,Banks,"2,654.6",2.2,2.9,-0.9
B1L95G,Aker BP ASA,Norway,Energy,Oil Gas & Consumable Fuels,"13,882.2",0.2,4.8,80.0
BLFJ7Y,"Akeso, Inc.",China,Health Care,Biotechnology,"1,401.4",0.4,0.0,#N/A
BJ2KSG,Akzo Nobel N.V.,Netherlands,Materials,Chemicals,"15,208.3",0.4,2.5,25.2
B12LZH,Al Rajhi Bank,Saudi Arabia,Financials,Banks,"99,704.1",0.2,0.8,13.1
204685,Albemarle Corporation,United States,Materials,Chemicals,"27,636.3",0.2,0.7,-32.9
BJT1GR,Alcon AG,Switzerland,Health Care,Health Care Equipment & Supplies,"35,730.7",0.5,0.3,#N/A
B0LX3Y,Aldar Properties - P J S C,United Arab Emirates,Real Estate,Real Estate Management & Development,"11,216.9",0.7,2.8,12.5
200921,"Alexandria Real Estate Equities, Inc.",United States,Real Estate,Equity Real Estate Investment Trusts (REITs),"25,788.4",0.6,2.9,29.0
733268,Alfa Laval AB,Sweden,Industrials,Machinery,"10,752.1",0.3,2.4,-5.2
204342,"Alfa, S.A.B. de C.V. Class A",Mexico,Industrials,Industrial Conglomerates,"3,327.3",0.6,5.9,-33.3
B51BMR,Algonquin Power & Utilities Corp.,Canada,Utilities,Multi-Utilities,"9,625.3",0.6,4.8,0.1
BK6YZP,Alibaba Group Holding Ltd.,China,Consumer Discretionary,Internet & Direct Marketing Retail,"228,658.7",0.6,0.0,1.8
BRXVS6,Alibaba Health Information Technology Ltd.,Hong Kong,Consumer Discretionary,Internet & Direct Marketing Retail,"7,217.6",0.3,0.0,#N/A
BPYM74,Alibaba Pictures Group Limited,Hong Kong,Communication Services,Entertainment,"2,268.7",0.9,0.0,#N/A
267920,"Align Technology, Inc.",United States,Health Care,Health Care Equipment & Supplies,"21,207.4",0.2,0.0,19.2
252810,Alimentation Couche-Tard Inc. Class A,Canada,Consumer Staples,Food & Staples Retailing,"44,013.8",0.3,0.8,18.1
B39NWT,Alinma Bank,Saudi Arabia,Financials,Banks,"19,167.7",0.4,2.0,-0.6
201680,Alleghany Corporation,United States,Financials,Insurance,"11,174.4",0.8,0.0,71.2
BFRT3W,Allegion PLC,Ireland,Industrials,Building Products,"9,584.8",0.1,1.5,6.4
BMBQDF,Allegro.eu Societe anonyme,Luxembourg,Consumer Discretionary,Internet & Direct Marketing Retail,"5,629.4",0.4,0.0,#N/A
297382,Alliant Energy Corp,United States,Utilities,Electric Utilities,"14,783.0",0.4,2.9,6.5
523148,Allianz SE,Germany,Financials,Insurance,"84,258.1",0.9,5.4,-3.4
201995,Allstate Corporation,United States,Financials,Insurance,"35,200.6",0.6,2.7,40.8
B72XK0,Ally Financial Inc,United States,Financials,Consumer Finance,"12,598.8",1.0,3.1,40.8
B137VV,Almarai Co. Ltd.,Saudi Arabia,Consumer Staples,Food Products,"13,889.3",0.3,1.9,-5.3
B00FWN,"Alnylam Pharmaceuticals, Inc",United States,Health Care,Biotechnology,"15,501.6",0.0,0.0,#N/A
B07C79,Alpargatas SA Pfd,Brazil,Consumer Discretionary,Textiles Apparel & Luxury Goods,"2,689.5",0.4,2.1,8.9
BZ1MXR,Alpha Services & Holdings SA,Greece,Financials,Banks,"2,199.4",3.0,0.0,#N/A
BYVY8G,Alphabet Inc. Class A,United States,Communication Services,Interactive Media & Services,"1,476,958.1",0.2,0.0,43.4
B0DJ8Q,Alstom SA,France,Industrials,Machinery,"9,458.0",1.1,1.0,-56.3
B43WJC,AltaGas Ltd.,Canada,Utilities,Gas Utilities,"6,483.1",0.8,3.6,-10.9
BSTJWN,ALTEOGEN Inc.,South Korea,Health Care,Biotechnology,"1,738.9",0.1,0.0,#N/A
269263,Altria Group Inc,United States,Consumer Staples,Tobacco,"96,321.6",0.0,6.8,-20.6
642539,Aluminum Corporation of China Limited Class H,China,Materials,Metals & Mining,"10,547.4",0.8,1.1,108.8
B3MSM2,Amadeus IT Group SA Class A,Spain,Information Technology,IT Services,"27,926.9",0.2,0.0,-63.7
200001,"Amazon.com, Inc.",United States,Consumer Discretionary,Internet & Direct Marketing Retail,"1,089,806.4",0.1,0.0,43.9
BG7ZWY,Ambev SA,Brazil,Consumer Staples,Beverages,"45,377.2",0.4,4.2,-4.7
BD9G33,Ambu A/S Class B,Denmark,Health Care,Health Care Equipment & Supplies,"3,467.2",0.2,0.3,-17.7
B09QQ1,Ambuja Cements Limited,India,Materials,Construction Materials,"9,303.6",0.4,1.7,7.4
BH4HLL,"AMC Entertainment Holdings, Inc. Class A",United States,Communication Services,Entertainment,"6,594.6",-0.3,0.0,#N/A
BJ1F30,Amcor PLC,United Kingdom,Materials,Containers & Packaging,"19,269.7",0.2,3.8,-0.6
202817,AMERCO,United States,Industrials,Road & Rail,"10,058.0",0.6,0.0,48.1
205083,Ameren Corporation,United States,Utilities,Multi-Utilities,"23,963.4",0.4,2.5,6.6
266747,America Movil SAB de CV Class L,Mexico,Communication Services,Wireless Telecommunication Services,"65,431.0",0.3,2.2,30.2
202624,"American Electric Power Company, Inc.",United States,Utilities,Electric Utilities,"51,292.8",0.5,3.1,9.2
202608,American Express Company,United States,Financials,Consumer Finance,"117,552.7",0.2,1.3,6.6
213453,"American Financial Group, Inc.",United States,Financials,Insurance,"12,126.2",0.4,1.6,71.2
202734,"American International Group, Inc.",United States,Financials,Insurance,"46,184.8",1.2,2.2,#N/A
B7FBFL,American Tower Corporation,United States,Real Estate,Equity Real Estate Investment Trusts (REITs),"105,232.5",0.1,2.3,20.9
B2R3PV,"American Water Works Company, Inc.",United States,Utilities,Water Utilities,"26,223.4",0.3,1.8,25.3
BN925F,Americanas SA,Brazil,Consumer Discretionary,Internet & Direct Marketing Retail,"4,217.9",0.7,2.7,#N/A
B0J7D5,"Ameriprise Financial, Inc.",United States,Financials,Capital Markets,"28,566.4",0.2,1.9,11.7
279539,AmerisourceBergen Corporation,United States,Health Care,Health Care Providers & Services,"31,652.1",0.0,1.2,24.0
208921,"AMETEK, Inc.",United States,Industrials,Electrical Equipment,"26,871.0",0.2,0.8,5.5
202360,Amgen Inc.,United States,Health Care,Biotechnology,"130,323.4",0.0,3.2,-9.2
604702,AMMB Holdings Bhd.,Malaysia,Financials,Banks,"2,633.3",1.5,0.0,#N/A
B15SK5,Amorepacific Corp.,South Korea,Consumer Staples,Personal Products,"7,565.6",0.5,0.6,-18.3
666593,"AmorePacific Group, Inc.",South Korea,Consumer Staples,Personal Products,"3,001.1",0.9,1.0,6.0
214508,Amphenol Corporation Class A,United States,Information Technology,Electronic Equipment Instruments & Components,"40,587.5",0.2,1.2,11.8
B14NJ7,Amplifon S.p.A.,Italy,Health Care,Health Care Providers & Services,"7,570.8",0.1,0.8,21.7
BM9120,Ampol Limited,Australia,Energy,Oil Gas & Consumable Fuels,"5,764.5",0.4,2.7,3.1
BYZR01,Amundi SA,France,Financials,Capital Markets,"11,526.5",1.0,7.5,16.4
601490,ANA Holdings Inc.,Japan,Industrials,Airlines,"9,444.9",0.7,0.0,#N/A
203206,"Analog Devices, Inc.",United States,Information Technology,Semiconductors & Semiconductor Equipment,"83,688.6",0.4,1.9,-2.2
676100,Anglo American Platinum Limited,South Africa,Materials,Metals & Mining,"25,656.4",0.2,7.6,115.4
B1XZS8,Anglo American plc,United Kingdom,Materials,Metals & Mining,"57,925.5",0.5,6.3,25.5
656565,AngloGold Ashanti Limited,South Africa,Materials,Metals & Mining,"7,374.6",0.6,1.1,83.8
BYYHL2,Anheuser-Busch InBev SA/NV,Belgium,Consumer Staples,Beverages,"109,204.6",0.6,0.7,2.1
608039,Anhui Conch Cement Company Limited Class H,China,Materials,Construction Materials,"28,802.4",1.0,6.9,4.6
211345,"Annaly Capital Management, Inc.",United States,Financials,Mortgage Real Estate Investment Trusts (REITs),"9,292.0",1.0,13.8,#N/A
204562,"ANSYS, Inc.",United States,Information Technology,Software,"21,075.1",0.2,0.0,1.6
B1YVKN,ANTA Sports Products Ltd.,China,Consumer Discretionary,Textiles Apparel & Luxury Goods,"28,839.1",0.1,1.4,23.1
BSPHGL,"Anthem, Inc.",United States,Health Care,Health Care Providers & Services,"114,850.4",0.3,1.1,14.6
004561,Antofagasta plc,United Kingdom,Materials,Metals & Mining,"17,547.9",0.5,8.1,32.1
BLP1HW,Aon Plc Class A,Ireland,Financials,Insurance,"57,235.3",0.0,0.8,4.6
624730,APA Group,Australia,Utilities,Gas Utilities,"9,652.6",0.2,4.8,-30.9
BN44JF,Apollo Global Management Inc.,United States,Financials,Diversified Financial Services,"31,216.1",0.3,2.9,68.0
627358,Apollo Hospitals Enterprise Limited,India,Health Care,Health Care Providers & Services,"6,721.4",0.1,0.1,9.9
204625,Apple Inc.,United States,Information Technology,Technology Hardware Storage & Peripherals,"2,279,197.3",0.0,0.7,32.3
204655,"Applied Materials, Inc.",United States,Information Technology,Semiconductors & Semiconductor Equipment,"98,357.2",0.1,0.9,28.9
B783TY,Aptiv PLC,Ireland,Consumer Discretionary,Auto Components,"25,508.1",0.3,0.0,-27.9
B12LZK,Arab National Bank,Saudi Arabia,Financials,Banks,"11,196.7",0.7,2.7,-19.6
BH3XG1,Aramark,United States,Consumer Discretionary,Hotels Restaurants & Leisure,"8,410.1",0.3,1.3,-60.9
282388,Arca Continental SAB de CV,Mexico,Consumer Staples,Beverages,"11,260.5",0.5,4.5,7.9
BYPBS6,ArcelorMittal SA,Luxembourg,Materials,Metals & Mining,"25,218.9",2.1,1.3,54.8
274054,Arch Capital Group Ltd.,Bermuda,Financials,Insurance,"17,212.4",0.7,0.0,23.3
204731,Archer-Daniels-Midland Company,United States,Consumer Staples,Food Products,"47,571.3",0.5,1.9,32.0
BNHKYX,arGEN-X SE,Netherlands,Health Care,Biotechnology,"16,977.2",0.2,0.0,#N/A
BN33VM,"Arista Networks, Inc.",United States,Information Technology,Communications Equipment,"31,618.6",0.1,0.0,13.3
625398,Aristocrat Leisure Limited,Australia,Consumer Discretionary,Hotels Restaurants & Leisure,"15,929.1",0.2,1.3,7.3
B0Z5YZ,Arkema SA,France,Materials,Chemicals,"8,853.8",0.7,2.6,35.7
BF0CK4,Aroundtown SA,Luxembourg,Real Estate,Real Estate Management & Development,"7,490.4",1.6,4.9,-39.7
205140,"Arrow Electronics, Inc.",United States,Information Technology,Electronic Equipment Instruments & Components,"8,107.4",0.6,0.0,29.6
235950,Arthur J. Gallagher & Co.,United States,Financials,Insurance,"32,848.6",0.3,1.3,10.1
605440,"Asahi Group Holdings,Ltd.",Japan,Consumer Staples,Beverages,"16,838.4",0.9,2.6,-7.4
B019MQ,"Asahi Intecc Co., Ltd.",Japan,Health Care,Health Care Equipment & Supplies,"4,270.8",0.2,0.6,-3.8
605460,Asahi Kasei Corporation,Japan,Materials,Chemicals,"11,483.4",1.2,3.4,-1.9
BLFDQC,"Asana, Inc. Class A",United States,Information Technology,Software,"3,938.3",0.0,0.0,#N/A
656387,Ascendas Real Estate Investment Trust,Singapore,Real Estate,Equity Real Estate Investment Trusts (REITs),"8,247.9",0.9,5.6,9.3
BFXZDY,"ASE Technology Holding Co., Ltd.",Taiwan,Information Technology,Semiconductors & Semiconductor Equipment,"14,009.0",0.7,7.2,42.1
B03MP4,Aselsan Elektronik Sanayi ve Ticaret A.S. Class B,Turkey,Industrials,Aerospace & Defense,"3,191.9",0.6,0.9,14.3
005367,Ashtead Group plc,United Kingdom,Industrials,Trading Companies & Distributors,"20,902.0",0.2,1.2,3.4
605633,Asia Cement Corporation,Taiwan,Materials,Construction Materials,"5,199.1",1.1,7.6,11.6
BCRWL6,Asian Paints Ltd.,India,Materials,Chemicals,"37,593.3",0.0,0.6,11.8
516529,ASM International N.V.,Netherlands,Information Technology,Semiconductors & Semiconductor Equipment,"14,512.6",0.2,0.9,32.2
B6ZZQ6,Asmedia Technology Inc.,Taiwan,Information Technology,Semiconductors & Semiconductor Equipment,"3,267.0",0.2,1.9,61.8
B929F4,ASML Holding NV,Netherlands,Information Technology,Semiconductors & Semiconductor Equipment,"216,380.2",0.0,1.1,46.4
B09C0Z,Aspen Pharmacare Holdings Limited,South Africa,Health Care,Pharmaceuticals,"4,395.4",1.0,1.7,14.3
BYPC1T,ASSA ABLOY AB Class B,Sweden,Industrials,Building Products,"26,086.6",0.3,1.8,27.2
BK21TV,Asset World Corp Public Company Ltd,Thailand,Consumer Discretionary,Hotels Restaurants & Leisure,"4,426.7",0.5,0.2,26.0
405671,Assicurazioni Generali S.p.A.,Italy,Financials,Insurance,"30,410.2",1.1,5.9,0.7
067312,Associated British Foods plc,United Kingdom,Consumer Staples,Food Products,"15,619.4",0.9,2.1,-13.0
233143,"Assurant, Inc.",United States,Financials,Insurance,"10,105.8",0.5,1.5,18.1
698538,Astellas Pharma Inc.,Japan,Health Care,Pharmaceuticals,"28,288.2",0.4,3.0,-23.8
098952,AstraZeneca PLC,United Kingdom,Health Care,Pharmaceuticals,"198,382.1",0.2,2.1,-56.6
605104,Asustek Computer Inc.,Taiwan,Information Technology,Technology Hardware Storage & Peripherals,"8,109.4",1.0,12.7,160.3
612922,ASX Limited,Australia,Financials,Capital Markets,"11,067.4",0.2,2.8,1.5
283181,AT&T Inc.,United States,Communication Services,Diversified Telecommunication Services,"144,826.6",1.1,5.5,-4.0
BF7LBH,Atacadao SA,Brazil,Consumer Staples,Food & Staples Retailing,"7,666.1",0.5,0.0,30.2
766716,Atlantia S.p.A,Italy,Industrials,Transportation Infrastructure,"19,999.0",0.5,3.2,-8.8
BLDBN4,Atlas Copco AB Class A,Sweden,Industrials,Machinery,"49,465.8",0.2,1.8,3.5
231535,Atmos Energy Corporation,United States,Utilities,Gas Utilities,"15,548.8",0.6,2.4,9.7
628819,Au Optronics Corp.,Taiwan,Information Technology,Electronic Equipment Instruments & Components,"5,577.2",1.4,5.5,87.3
BKX3XG,Auckland International Airport Limited,New Zealand,Industrials,Transportation Infrastructure,"6,914.3",0.8,0.0,-23.3
B87CVM,Aurizon Holdings Ltd.,Australia,Industrials,Road & Rail,"5,283.5",0.6,8.2,18.3
670263,Aurobindo Pharma Ltd,India,Health Care,Pharmaceuticals,"3,941.7",0.7,0.8,26.8
606558,Australia and New Zealand Banking Group Limited,Australia,Financials,Banks,"49,815.3",0.9,5.6,5.1
BVYVFW,Auto Trader Group PLC,United Kingdom,Communication Services,Interactive Media & Services,"6,321.3",0.1,1.4,-6.6
206515,"Autodesk, Inc.",United States,Information Technology,Software,"40,890.8",0.0,0.0,#N/A
206530,"Automatic Data Processing, Inc.",United States,Information Technology,IT Services,"87,100.3",0.0,2.0,10.2
206595,"AutoZone, Inc.",United States,Consumer Discretionary,Specialty Retail,"36,514.4",-0.1,0.0,26.3
BZ1NVP,Avalara Inc,United States,Information Technology,Software,"6,635.2",0.2,0.0,#N/A
213117,"AvalonBay Communities, Inc.",United States,Real Estate,Equity Real Estate Investment Trusts (REITs),"28,181.8",0.4,3.2,4.8
BJLT38,"Avantor, Inc.",United States,Health Care,Life Sciences Tools & Services,"20,325.6",0.2,0.0,#N/A
BYW1G3,Avenue Supermarts Ltd.,India,Consumer Staples,Food & Staples Retailing,"30,149.7",0.1,0.0,7.7
206640,Avery Dennison Corporation,United States,Materials,Containers & Packaging,"13,766.4",0.1,1.8,61.9
BBG9VN,AVEVA Group plc,United Kingdom,Information Technology,Software,"8,043.8",0.9,1.8,-25.6
670789,AviChina Industry & Technology Co. Ltd. Class H,China,Industrials,Aerospace & Defense,"4,097.6",1.0,1.9,17.1
BPQY8M,Aviva plc,United Kingdom,Financials,Insurance,"14,313.3",1.8,7.0,-23.5
708842,AXA SA,France,Financials,Insurance,"57,012.8",1.3,6.6,61.1
B2QZGV,Axiata Group Bhd.,Malaysia,Communication Services,Wireless Telecommunication Services,"6,604.0",0.6,4.5,#N/A
BPFJHC,Axis Bank Limited,India,Financials,Banks,"25,685.6",0.6,0.2,35.9
B09JBT,Ayala Corp.,Philippines,Industrials,Industrial Conglomerates,"8,032.8",0.9,1.0,-20.7
605511,Ayala Land Inc.,Philippines,Real Estate,Real Estate Management & Development,"7,882.9",0.6,0.9,-31.0
698554,Azbil Corporation,Japan,Information Technology,Electronic Equipment Instruments & Components,"4,126.0",0.4,1.8,5.0
B5MN1W,Azrieli Group Ltd.,Israel,Real Estate,Real Estate Management & Development,"9,013.5",0.7,2.5,-20.9
BF0NJD,B.Grimm Power Public Company Ltd,Thailand,Utilities,Independent Power and Renewable Electricity Producers,"2,489.6",0.4,1.3,7.4
BG36ZK,"B3 SA - Brasil, Bolsa, Balcao",Brazil,Financials,Capital Markets,"14,335.4",0.3,0.0,16.0
BMXVKB,Bachem Holding AG Class B,Switzerland,Health Care,Life Sciences Tools & Services,"5,940.0",0.2,1.0,39.6
026349,BAE Systems plc,United Kingdom,Industrials,Aerospace & Defense,"29,479.7",0.3,3.3,17.9
B2QKXW,Bajaj Auto Limited,India,Consumer Discretionary,Automobiles,"13,762.4",0.3,3.7,5.6
BD2N0P,Bajaj Finance Limited,India,Financials,Consumer Finance,"44,454.6",0.1,0.3,4.3
B2QKWK,Bajaj Finserv Limited,India,Financials,Diversified Financial Services,"25,404.2",0.2,0.0,7.9
BDHLTQ,Baker Hughes Company Class A,United States,Energy,Energy Equipment & Services,"35,511.8",0.4,2.1,0.6
638878,Balkrishna Industries Limited,India,Consumer Discretionary,Auto Components,"5,227.5",0.2,0.8,12.6
207302,Ball Corporation,United States,Materials,Containers & Packaging,"22,772.2",0.2,1.1,33.0
207271,Ballard Power Systems Inc.,Canada,Industrials,Electrical Equipment,"2,070.2",0.6,0.0,#N/A
712459,Baloise-Holding AG,Switzerland,Financials,Insurance,"7,650.2",1.0,4.2,1.8
550190,"Banco Bilbao Vizcaya Argentaria, S.A.",Spain,Financials,Banks,"33,656.1",1.4,1.3,9.4
B00FM5,Banco Bradesco SA Pfd,Brazil,Financials,Banks,"38,514.5",0.7,0.0,-13.3
BZBZVC,Banco BTG Pactual SA Units Cons of 1 Sh + 2 Pfd Shs A,Brazil,Financials,Capital Markets,"16,705.0",0.4,0.0,9.4
210084,Banco de Chile,Chile,Financials,Banks,"9,972.3",0.5,6.4,-4.1
206935,Banco de Credito e Inversiones,Chile,Financials,Banks,"4,991.0",1.1,3.7,-8.7
232859,Banco do Brasil S.A.,Brazil,Financials,Banks,"20,847.5",1.1,0.0,-9.6
B4V5RY,Banco Santander (Brasil) S.A. Units Cons of 1 Sh + 1 Pfd Sh,Brazil,Financials,Banks,"24,854.8",0.9,0.0,#N/A
570594,"Banco Santander, S.A.",Spain,Financials,Banks,"49,569.1",2.0,3.0,8.1
200025,Banco Santander-Chile,Chile,Financials,Banks,"9,094.9",0.5,6.1,6.2
BJ62LW,Bancolombia SA Bancolombia Pfd,Colombia,Financials,Banks,"8,836.2",0.9,8.4,-51.5
B0JDQD,BANDAI NAMCO Holdings Inc.,Japan,Consumer Discretionary,Leisure Products,"15,580.7",0.3,0.6,-5.1
BG1SV4,Bandhan Bank Ltd.,India,Financials,Banks,"6,516.2",0.3,0.3,0.3
BJYD49,"Bangkok Commercial Asset Management Public Co., Ltd.",Thailand,Financials,Capital Markets,"1,739.7",0.7,2.9,-20.3
