Symbol,05/20/2022,05/13/2022,05/06/2022,04/29/2022
401225,2.1077394,-2.822727,2.1805644,-1.2741625
BDFLHW,4.540324,-0.5370259,-0.63563585,-2.3461998
B52J81,3.0611396,1.8753886,-0.20820498,-2.6626647
601070,3.0311227,3.2088041,-0.06379485,-5.327511
601090,-0.45687556,-3.3797562,-1.1349559,-2.1775365
250745,-1.1756301,3.4602046,-15.060562,-4.148883
B03MN7,-5.1895022,-8.549958,-2.8389513,-3.0892193
B1L95G,5.9346557,-2.4683774,4.2451262,-6.750846
BLFJ7Y,13.3110285,1.3110399,-18.62074,7.3061347
BJ2KSG,1.3446808,-2.2692025,-2.8211355,1.0546327
B12LZH,-6.6891136,-9.223413,-1.7902255,
204685,3.3301234,-5.606204,25.711763,-3.892541
BJT1GR,1.5581489,2.4719,-4.0872755,-7.7241898
B0LX3Y,1.1560678,-7.6512456,-0.53097606,5.2141547
200921,-4.049259,-5.7901263,-3.0083477,-6.956786
733268,-1.8231809,-0.7739067,-8.58692,-13.345504
204342,9.05546,0.5449295,0.04682541,-6.227666
B51BMR,2.642715,1.751554,-5.075288,-4.5203805
BK6YZP,7.1365714,-9.022797,-11.549473,17.818344
BRXVS6,7.544136,8.70434,-16.742033,11.782217
BPYM74,6.3688397,1.6103148,-7.505715,8.053505
267920,-0.1742065,-1.7438829,-3.2768786,-19.59675
252810,-3.9636135,5.2781105,-4.1893187,0.3787279
B39NWT,-2.0462155,-11.46431,1.9571424,
201680,-0.35722852,0.6905198,-0.626421,0.14965534
BFRT3W,-3.280723,0.18655062,-1.4618337,-0.23579001
BMBQDF,8.831906,3.2702327,-4.958659,-17.08452
297382,0.39356947,-0.51072836,-0.119024515,-6.150979
523148,-0.87008476,0.57771206,-4.1832743,-3.4372568
201995,-4.0252805,-1.8152535,3.176856,-4.1871786
B72XK0,-2.2991478,-5.356282,4.654658,-3.1978846
B137VV,0.18963814,-0.005334616,1.9499183,
B00FWN,4.586065,-6.1447144,0.98929405,-20.101803
B07C79,-1.7301917,1.9499898,6.0799956,-10.752183
BZ1MXR,1.3070583,-9.591335,-7.9960465,-10.4696865
BYVY8G,-6.1546507,0.2626419,1.4345884,-4.619032
B0DJ8Q,4.5847774,2.3534536,6.0649037,-5.064088
B43WJC,4.481554,-2.3471415,-1.4288604,-2.1811187
BSTJWN,11.515177,-8.827662,-8.474469,5.3976774
269263,-3.676474,-6.240052,1.7995358,0.07203817
642539,14.82383,-4.404956,-15.239429,-10.935444
B3MSM2,2.1954536,-3.8437486,-0.34680963,0.02233982
200001,-4.833049,-1.4964342,-7.651174,-13.90267
BG7ZWY,0.96122026,6.695795,-8.742052,-5.6442857
BD9G33,-5.5797634,-3.8125992,-12.614096,
B09QQ1,1.0016203,-2.407354,-2.4138927,-0.59769154
BH4HLL,1.862824,-14.171511,-10.065359,-7.3849916
BJ1F30,1.2529373,-0.3122568,8.010125,2.4179578
202817,-3.307122,-1.8596649,0.92253685,-2.1418214
205083,-0.5047798,0.49649477,-0.269109,-4.1081724
266747,11.164629,2.115631,-3.4778595,-7.9517126
202624,0.010025501,0.8228779,0.54484606,-1.1371553
202608,-3.470862,-5.0254226,-4.327178,-3.2291949
213453,-3.2623112,-3.3735752,7.668984,-4.0266094
202734,-5.0204935,-5.8974743,6.3578844,-3.1932473
B7FBFL,4.9944043,-4.6748877,1.2654543,-7.9725027
B2R3PV,-0.6212354,-1.2583077,-3.2905042,-6.1632156
BN925F,6.6137314,2.2566438,-8.675278,-13.745493
B0J7D5,-2.1405816,-1.8717229,0.88893175,-5.2092257
279539,-1.7725229,-3.5595179,5.1027894,-4.849058
208921,-3.0403197,-1.6973913,-2.4790168,-0.71557164
202360,2.4815202,2.91754,1.4194369,-6.854403
604702,-2.0594656,-3.6311686,-1.4574945,-1.1901975
B15SK5,-5.792284,-1.7844737,-9.221667,5.9815884
666593,-2.2536993,-5.1451864,-8.026558,5.183816
214508,-2.8948486,0.07100105,-1.510495,2.9665828
B14NJ7,-5.3073287,-5.132675,-6.926733,-2.3273468
BM9120,2.8920531,-0.08331537,-2.4615824,0.9587407
BYZR01,-0.71062446,0.9420991,-5.941433,-6.0850677
601490,2.889061,-4.0185394,5.8730125,-3.577304
203206,2.3308516,1.6716838,1.1335611,-0.560385
676100,-4.190147,0.79227686,-8.906639,-1.825285
B1XZS8,8.778119,-6.2867284,-4.287964,1.3067842
656565,1.8785238,-12.154317,-6.385696,-1.1602104
BYYHL2,-2.7383983,0.83976984,-5.0423803,-2.3089528
608039,0.88818073,-4.169112,-2.1434247,8.185697
211345,-6.092125,-0.59084296,5.451715,-1.5337408
204562,-0.9506285,-2.683586,-5.114442,-0.30015707
B1YVKN,-1.3323426,2.7877927,-9.133178,-0.87357163
BSPHGL,1.3156533,-3.6045492,0.5399227,-0.13927221
4561,#N/A,#N/A,#N/A,#N/A
BLP1HW,-6.3756285,-1.987493,-0.5902946,-10.28791
624730,8.846653,-3.6195636,-1.3749242,-1.62552
BN44JF,1.2546182,2.4574637,6.310296,-7.7322483
627358,3.2365322,-7.911515,-14.688516,-7.3607683
204625,-6.4713535,-6.466174,-0.088799,-2.558875
204655,-4.8274636,-0.5688906,1.9483447,-2.1719873
B783TY,-4.6366987,-3.6429703,-4.285717,-0.075131655
B12LZK,-4.112154,-17.04988,9.988272,
BH3XG1,-3.745538,-6.1122,-1.158613,-5.228758
282388,2.2829294,2.347231,0.026845932,-0.7571161
BYPBS6,5.2410126,0.029051304,-6.087208,-6.7885933
274054,-1.303786,-1.1173189,1.9049764,-3.4665048
204731,-1.1593878,-4.836738,0.18982887,-2.8422654
BNHKYX,4.0611267,-0.5125284,7.7525496,-8.541834
BN33VM,-5.5315256,-2.0994782,-3.9716184,-1.8096805
625398,13.109946,-4.250121,-4.5829353,0.9453654
B0Z5YZ,-1.3807833,-2.6682973,6.8430185,-4.503351
BF0CK4,3.118956,-2.2276044,-3.4041047,-5.1228228
205140,-5.3969803,0.11205673,5.998647,4.356289
235950,-4.332799,-1.4956176,-2.3799717,-5.3586426
605440,-9.947568,-2.4989307,1.7486691,4.8449636
B019MQ,-18.022537,-0.9636104,-2.577901,-8.703709
605460,2.9747605,-4.662311,2.1555185,-3.2109678
BLFDQC,-12.064016,-2.519995,-6.7164125,-7.872123
656387,2.1069646,-4.648429,-1.9541562,-2.161336
BFXZDY,3.9442778,-2.1037579,-0.38576126,-4.250169
B03MP4,-3.475809,-7.9123735,-2.2331715,-9.893579
5367,-0.82467794,-4.550624,1.2635589,-0.76734424
605633,-1.8103898,-4.977661,-2.55543,0.40336847
BCRWL6,1.3193369,0.9337783,-7.4680862,2.4142146
516529,-1.4833272,2.5566936,-3.6273122,-10.466946
B6ZZQ6,13.452649,-8.861184,-5.2269754,-8.7491455
B929F4,-3.1653225,-1.6313255,-3.325355,-6.0737906
B09C0Z,2.272594,-0.9020746,-8.572329,-4.3227854
BYPC1T,0.96901655,-1.3956368,-8.415198,-3.8767695
BK21TV,3.216219,-4.0998755,0.9743333,-3.8416564
405671,3.0620217,-1.7811596,-1.705426,-3.7720382
67312,#N/A,#N/A,#N/A,#N/A
233143,-3.000772,-3.6907434,3.6837459,-2.513802
698538,1.217103,1.0539889,-0.7258475,-5.735058
98952,#N/A,#N/A,#N/A,#N/A
605104,-2.037239,-7.5341043,-0.41921735,-2.3852706
612922,2.8575778,-5.5190144,-2.5262296,2.8597355
283181,2.822578,-0.9485781,6.2036037,-3.381145
BF7LBH,7.3112965,1.4941454,-10.158462,-7.6930165
766716,1.8838406,-1.6951978,0.4054308,-1.9255221
BLDBN4,-3.2632768,3.6234617,-8.220959,-7.716566
231535,-0.51345825,-1.6884267,1.3227463,-4.4650316
628819,1.715517,-5.711788,3.9348245,-7.738292
BKX3XG,3.0610323,-7.2137117,-3.1584918,-2.3500502
B87CVM,4.5176387,-4.3659925,-0.07036328,1.2112737
670263,-0.88970065,-8.854503,-3.319645,-5.4960847
606558,2.1334052,-5.039507,-2.0469844,-3.745997
BVYVFW,0.3405094,-4.4152794,-10.199297,-2.0844162
206515,-2.8720796,1.7030478,2.3721457,1.0517359
206530,-0.07184148,-3.7568033,-0.56833625,-2.3890555
206595,-11.465132,0.055503845,2.2772074,-9.480297
BZ1NVP,0.2611637,2.53762,3.089261,-9.880352
213117,-3.0210972,-2.457273,-6.615967,-9.316331
BJLT38,3.8935065,-3.3451319,-2.4780393,6.195867
BYW1G3,11.99522,-12.311554,-7.7848015,-1.9345701
206640,-5.61707,-1.7198622,-1.8050969,7.8724265
BBG9VN,4.36399,-1.7146289,-3.0151963,-15.589166
670789,7.144463,-2.4838805,-6.322646,3.6038995
BPQY8M,4.242468,-2.6662052,-5.790901,-3.2435179
708842,2.0807147,-0.87631345,-4.115176,-6.3987374
B2QZGV,-4.8199773,-1.7954171,-2.6481688,-3.138274
BPFJHC,5.732596,-6.1703324,-8.204722,-6.56538
B09JBT,5.021906,-10.766673,-1.5684545,-2.241546
605511,5.9492946,-15.332192,0.8390665,-7.7082453
698554,-4.5153084,-1.6591668,-1.4278412,-2.1924078
B5MN1W,-0.499928,-4.757881,-9.683132,-3.2506526
BF0NJD,3.8708687,2.7013898,-4.8653784,-3.1189382
BG36ZK,9.909189,-3.2462955,-13.330877,-11.224974
BMXVKB,0.85691214,-3.2197177,-14.201087,-6.1985435
26349,#N/A,#N/A,#N/A,#N/A
B2QKXW,3.8709998,3.398788,-6.750065,2.3235917
BD2N0P,4.6052217,-8.70716,-10.633254,-6.0952244
B2QKWK,-0.5338967,-8.164167,-9.067673,-3.4502625
BDHLTQ,1.2899399,6.1624646,3.578341,-3.664595
638878,11.8193035,-6.008494,-7.606119,1.2773395
207302,-1.1039376,-3.0037582,-11.397237,-6.119138
207271,5.816257,-12.218464,-6.52017,-5.6453347
712459,3.376186,-0.47937036,-3.2457411,-3.250283
550190,-0.57370067,3.805077,-9.00234,-1.0608077
B00FM5,7.2131395,5.373025,-1.3231456,-10.333568
BZBZVC,6.5193176,9.938121,-7.1119785,-12.41852
210084,3.122294,-4.576212,0.86991787,-6.7683277
206935,7.9133153,-0.6105542,-0.8260846,-4.949689
232859,10.342253,2.9799938,-0.20734668,-7.518214
B4V5RY,5.730498,-1.5287459,1.6985536,-10.334474
570594,2.1686792,1.0907531,-5.5950165,-11.615014
200025,0.3498435,-2.722603,1.0597944,-4.535407
BJ62LW,-2.2163153,-0.6741822,-2.5364578,-6.7844095
B0JDQD,7.196367,-2.1113455,-0.5302131,-2.5075972
BG1SV4,-0.33026338,-0.9629905,-5.3777037,1.1770487
BJYD49,0.97306967,0.312984,-3.378898,-3.5686433
BLZGSL,1.5101671,7.4782014,-3.9417446,-5.471963
BYV76L,9.606075,-0.66990256,-2.0755053,-2.0702481
B12LZP,-4.0242968,-11.20165,1.3590574,
B12LZQ,-6.161928,-12.800855,3.420341,
607580,4.471147,2.2771597,-7.6297226,-4.218298
607642,0.54950714,-2.1541774,-7.3614597,-4.2891264
229567,-3.7247598,-6.0881257,4.9607635,-5.00533
B15456,1.6799092,-0.9893656,-1.9810796,-1.2839556
B0B8Z2,2.1672964,-1.7299592,-4.7974825,-1.981318
207600,0.09036064,-2.6064157,-1.7733395,-4.0531874
B1Z77F,0.7133007,-0.68555474,4.0418386,-4.0940943
207628,-0.1095891,-1.7525315,0.12514591,-4.8555017
607496,10.6289625,-5.661935,-1.0811031,-3.9394379
547311,6.0809016,-3.6445618,-7.91418,-12.419385
B12LZT,-2.5640786,-9.967905,-1.4650524,
313486,3.6183357,0.076174736,-1.3207853,-1.2390614
8118,-0.48944354,0.028157234,-0.8541703,3.091979
202464,1.917994,-9.115916,0.04348755,-5.559808
547692,-2.7126133,-0.65147877,-2.238834,-1.1432707
B0YTG2,-0.58823824,-4.8600855,-3.0277073,
508657,0.48273802,2.2461653,1.1633277,-5.671394
BNNTGJ,-24.15213,-3.4267366,-0.13235211,-0.97360015
208510,0.27387142,0.32970905,2.4345636,-2.7640998
506921,5.2040696,0.97540617,-1.3411105,-6.9495797
575602,1.2982607,3.6851168,1.0203362,-2.1098137
B9N3SQ,3.4467816,2.2592902,-3.6051035,-7.6364574
B188TH,-0.28710365,-2.1863759,0.9904623,-6.0722947
B5VJH7,3.438294,-2.1269023,-1.3221145,-3.5008013
593240,3.7134051,-1.6847908,-7.717806,-1.6981125
BYM406,1.3825417,-8.9216175,-0.68317056,5.6245446
208780,1.5536904,-3.6942303,4.3610215,-3.0779421
510740,0.12310743,2.5229096,-4.4355335,-2.3012698
620842,4.630959,0.4852414,-5.355811,-0.24058819
608169,2.3444772,-1.3409495,-2.1054685,-0.937742
B01YCG,2.5085568,-3.602457,-2.3891568,0.77712536
B02JV6,16.179752,-5.2411375,-3.163588,-8.040076
BMC1PR,2.2436976,-16.627699,-9.200275,1.3872266
BV8TBJ,-4.1240454,-1.9574761,-7.978219,0.39248466
BLJNXL,5.4714084,-1.5624106,-3.3732533,-2.4776995
207339,-2.0331204,-2.6718557,-1.2235463,-3.7936628
609401,2.9298902,2.2975564,0.4659295,-0.8547008
209467,-16.211212,-5.524564,1.6457319,-1.4789641
BD95QN,-4.145515,3.8655877,2.2278428,-0.5131006
BF1THH,7.2444797,-4.736531,-4.728353,-5.332452
B0C1DM,7.073343,-5.280942,-6.5101566,-3.0466616
609972,-1.3554513,-6.217557,-2.306211,-7.672727
644232,-0.37201047,-3.6029398,-4.572761,0.18590689
614469,4.6655297,-4.6718836,-2.588892,-3.0231833
BZBFKT,-2.3173213,6.8407416,-8.591515,-1.1307538
610008,-0.9840965,-0.3068924,-6.527692,-2.4126232
BKDS4H,0.0759244,-2.0330548,-29.119564,-1.054883
B0D000,-4.320669,-4.9113092,-1.2052774,-3.8633287
209850,4.0011168,0.12961626,-2.0700693,-4.1606607
BSHZ3Q,-0.38610697,-1.2978315,-1.7804027,-5.7817755
674125,3.9126873,-6.8445864,-6.12489,-1.8605351
245596,0.27120113,2.8407574,-6.6669884,-1.2143433
243707,2.5601387,-1.930356,-2.569139,1.0558963
BF0LBX,4.9464703,-3.6745846,-0.2570808,-1.8161356
BDG75V,3.7784815,-2.214086,7.78234,0.015211105
BCBHZ3,1.5920401,3.7179828,-2.2385836,-4.914898
249450,-2.4198413,-2.114153,0.63072443,-5.771261
BKF2SL,-0.23186803,6.237066,-0.07876754,-6.9626513
BYNZGK,-0.8437276,-12.5168915,-3.365481,-3.0485988
653323,4.34469,-6.9482803,-10.238475,-8.428812
730968,4.152012,1.6940713,2.1036983,-5.929798
BYZJV1,4.7570705,-3.1965733,-1.7365336,2.8040886
653611,-0.31829476,-0.002551079,3.6167264,-2.8912604
210860,-5.110061,-14.573538,0.04030466,-15.871584
BL54C2,8.022678,-5.564314,-9.985757,-7.178819
457270,3.02521,4.9727798,-0.13129711,-4.071707
BDRXDB,0.6665468,-4.2083144,-0.7275045,-0.16080737
B5367T,-2.098602,-4.517424,3.3198595,-7.2597146
211195,-0.65104365,1.1324763,3.095305,-2.7205467
B24FZ3,9.738934,1.8203259,-3.075397,-1.7469883
201947,-6.6364946,-5.381131,1.2925148,-6.436473
211343,-1.1094272,-2.9130936,-2.992171,-4.0774527
B15DYL,-0.4387498,-9.396487,1.6475439,7.784128
400212,3.5262585,-0.3113866,-0.629127,0.19010305
79805,#N/A,#N/A,#N/A,#N/A
B1FJ0C,9.687853,-3.1398177,-0.7334113,-3.696692
B0774N,7.832527,5.216253,-3.8178325,-4.3399453
B4YVF5,-0.05108118,1.4634013,-6.357634,-3.2488286
203699,2.3673177,14.934647,-13.531298,-10.293084
613210,2.6310205,0.11241436,2.5331974,-0.27272105
212633,0.5145073,-1.1347294,1.8599749,-0.6336689
BGSQG4,5.082226,-1.6223252,0.18019676,-2.3344398
28758,#N/A,#N/A,#N/A,#N/A
13670,#N/A,#N/A,#N/A,#N/A
BDZ78H,-7.658434,1.4032125,4.6375275,-5.547321
B1VP7R,-0.2583623,-1.7625511,-1.5888512,-2.811867
209259,-1.0892272,-1.7356873,-3.3242583,-2.910316
614650,6.1924577,-5.891764,2.9972196,-0.851506
269268,-5.008638,-0.58379173,-5.8688283,-8.489597
214683,-5.8233557,3.3735633,-4.1814923,0.67174435
309135,4.5025706,1.6904235,-2.5282562,-6.985134
BDDW2W,5.0105214,-2.952522,-1.9243836,-1.972425
BKDXJH,2.2708893,2.2654295,-1.9667387,-3.7567616
B0166D,2.9855967,5.1390886,0.35933256,-3.8776875
278871,0.2965808,-4.9032393,1.8652797,-4.0868225
B0744B,-0.6342292,-4.2051497,-3.9909363,-1.5725434
B2RLCR,3.6008477,-6.5031886,-0.37034154,
317430,2.7296066,2.2420764,-5.7561693,-4.8404455
B28DTJ,1.8038869,0.07703304,-5.278003,-0.4644215
BF311Y,-12.631882,-12.303,-3.3700168,-2.67272
653665,13.258684,3.7593842,-3.0985117,1.8030882
B29SHS,8.533549,5.86282,-12.991911,11.207497
211622,-3.6581933,-1.1031151,0.7724881,3.925991
BZ07DS,5.6264877,0.12420416,-3.3450544,-13.161325
230223,2.9205322,-2.6849687,-2.9698431,1.8774867
216276,-0.41749477,-2.2935092,-0.46086907,-7.0289373
BMWWGB,-8.874345,-8.27356,-9.550386,-0.480479
B283W9,9.694552,-3.8121223,-4.165554,-2.1607041
216632,-5.0345955,-1.8950284,-5.1501036,-6.093258
216616,6.776905,-7.860017,-8.1137295,-6.492752
216284,-8.941645,1.7717004,5.188477,0.59651136
211759,0.8614421,2.2116065,-6.6307425,-3.0892968
217052,0.81341267,-2.3403406,-2.2906601,-2.0814896
218063,1.1496544,-5.1655827,-1.5349865,-4.18219
217157,1.8351078,-4.686803,2.4047732,-2.6229084
279311,-0.3843844,-4.5710506,-1.4820039,-1.5328288
217228,-7.028854,3.0926108,-4.959816,-3.0085266
217263,3.8890004,0.27922392,0.9022355,-2.4858832
617232,1.9245267,4.7339916,2.1785736,-3.0469835
BYTN3W,-6.095946,-1.1890113,2.729082,3.82725
BJKDJS,8.958662,-2.1882892,-13.207644,-13.9005
617369,0.3496766,2.384603,2.0764232,13.596725
416343,-0.35653114,-1.5138924,-6.0002565,-0.05876422
265446,-2.3699164,-7.855797,1.9419074,-7.8799486
642012,0.0951767,0.5653143,-4.064125,-1.2169182
BNHXFJ,4.182327,-5.023879,-3.0404985,3.6162376
644085,3.2940865,1.6471386,-6.541795,2.381754
BSM67X,5.3957224,-0.3254652,-5.727184,-0.4285574
217567,0.34166574,-4.5649586,0.37899017,-5.7170687
592296,7.232797,1.7515898,-6.181419,-9.292197
416921,0.18049479,-4.9247084,0.4390478,
BKRTG5,-2.4688005,0.8092284,3.8578033,-8.8877735
298356,0.8727908,-3.2101274,10.398698,-5.0896225
252304,-8.053219,-10.301513,-7.9768715,-8.174104
564156,-7.724631,0.31774044,2.457261,0.49479008
BK4N0D,-5.548644,6.379032,-1.2803793,-7.799369
BYQHPG,-12.37275,-17.577452,-19.80676,-30.794031
BP96PQ,2.0472646,-0.65769553,9.132075,-0.121319294
618666,6.5446973,-0.7723987,3.4116983,-2.426982
218020,-3.1860173,-4.807824,1.9521236,-2.6629746
642566,-2.0592332,-11.667329,-2.762872,-3.3729434
B5834C,-2.2307515,-1.6808987,-1.5312493,-0.99027157
B6WVMH,-2.2648513,-0.517112,-2.1917164,-1.80915
215979,3.4940004,6.7127347,-2.0822167,-0.81744194
284097,9.495771,3.262329,-5.458045,-10.831892
730221,1.0709047,1.0167003,-2.931869,-7.8545094
BBM5MD,-5.397427,-0.75020194,4.559386,-3.7513256
B05MZT,5.7605863,-4.342574,1.3951302,3.440547
BX90C0,1.1226177,-4.600835,-5.89602,-3.3552825
BYZ6DH,6.2641025,-9.646177,-7.7720046,5.3931355
B0V3YP,1.0015607,-12.018358,-7.7241,4.30671
B0C5YV,1.2656212,-15.217007,-4.9606266,9.21123
240645,8.2759495,-3.341657,-3.7817419,-0.39690137
B00R3L,2.2727609,-4.73727,-1.8347859,-0.24873018
B57FG0,6.3559413,-1.5624881,9.819138,7.59269
280706,3.2069921,-2.034986,4.3202877,-4.572916
244063,-0.9023547,0.97625256,0.39201975,-3.8328588
230844,11.923372,4.6286106,-6.650406,-1.5538454
618355,1.7369509,-2.4305344,4.2330265,-0.49101114
B6SR7L,6.6499233,-5.276078,1.7986059,-2.8896332
BKP8ZP,5.7993293,-9.956646,-0.8933425,-2.7301192
BFX1V5,0.35459995,2.750957,-2.2091627,-1.0401964
218528,-0.29720664,0.22339821,0.38444996,-0.06403327
562403,16.19097,3.1513095,-2.3512065,-1.5258014
B0G4K5,-7.7700734,4.4480085,3.0878782,-0.11347532
BJ2L57,3.4247994,1.4889479,-0.77263117,0.010788441
BSBMM0,3.4504652,-1.4517903,-6.800115,5.2025437
B58J1S,7.0608735,-18.965023,-0.6973803,-3.2004893
618785,1.6655445,-2.636832,-2.576077,-1.8062472
260433,-1.3442993,-2.5417447,0.18633604,-11.544519
277939,-3.5512924,-2.3880124,1.6432881,-5.674058
B4V9B0,2.7430892,3.7617803,-1.7105639,-0.05378723
BZ6VT8,1.6207337,2.5273561,7.300055,-16.207445
218133,-0.13911724,1.6723514,-4.8301516,-7.998836
609323,1.4653563,-1.474601,-0.53593516,-1.7260194
BC9ZH8,12.840927,-6.978214,-1.5871346,0.060904026
619022,3.8536787,-1.6244292,0.04478693,-3.485757
265436,-3.7851453,-7.7476797,8.438265,0.08106232
283855,0.8161187,-1.6521215,8.948744,-2.6592076
BJLFHW,-12.513405,2.0802855,-5.7123184,-16.060078
619056,-5.457771,-5.312729,1.8091321,-5.601305
BMQ8Q1,2.3042083,9.833264,-5.4703293,-3.0174136
BGY6SV,2.3998618,-0.7899344,-4.555684,-0.010192394
B1W0JF,2.5051236,-1.0954201,-8.77062,-0.997746
B1JNK8,4.908955,-0.94002485,-4.379308,1.5071034
B1HVJ1,3.2260537,-3.6541402,-0.8817613,6.83434
BH7HM0,4.373622,-1.5788615,-0.7796645,-5.986595
B0LMTQ,2.7662277,-0.72980523,-1.6557693,-1.7674804
643175,-0.09556413,-8.715409,-3.463471,-4.2132854
BF1343,2.1100998,-15.84214,-8.265877,4.437208
B5NRRJ,4.0485024,-0.002551079,-4.589838,-2.0647764
663094,3.7148,-0.65048337,-0.68997145,-0.010192394
BD3DS6,#N/A,#N/A,#N/A,#N/A
BK0SBL,4.7881365,-1.5672326,-6.435001,1.4761448
B92NYF,1.4893293,-0.002551079,-5.1604033,-5.0869284
646079,11.423206,9.742498,-6.1767044,5.8197975
B44ZV9,8.837069,-0.22525787,-10.151905,-7.6803923
BZ169C,7.236302,0.5900264,-15.240437,-2.3412347
B23TGR,-0.42214394,-4.6242833,-8.854664,4.3893576
BCDBKF,5.5929184,2.7506828,-8.786148,19.29239
671897,3.2333493,-0.711751,-2.1288633,-3.5274148
BYP71J,6.0260773,1.146841,-9.685934,13.265764
B4Q2TX,2.2324085,4.772222,-4.972875,-2.0430207
B6WY99,0.74192286,4.1404724,-6.5575542,4.656601
BH0VXF,8.044636,2.3131728,-9.220052,1.543045
B01B1L,2.062273,1.422286,-9.431809,-0.9403348
B1DYPZ,15.279495,-3.2941818,-8.080345,-7.9824805
641613,6.297648,-0.74436665,-2.2225559,0.86818933
B57JY2,3.8519263,-0.002551079,-4.0580153,-0.34348965
B1VRCG,6.6099405,-7.917917,-5.056697,-4.3263016
B0Y91C,0.9512782,-5.2087126,-3.64331,7.634294
656099,5.6404114,-3.8969219,-2.3766935,3.6789894
619215,3.6829352,-1.4887094,-3.725773,-1.8172324
BYYMZN,0.13238192,-1.0171831,-5.6821704,2.1634936
